video,file_name,relative_video,frame,bbox_id,cow_name,x,y,w,h,x2,y2,score,source
F:\DROPBOX\Isolated_Interaction_Clips\Interaction_Type\Displacement\Interaction-29.mp4,Interaction-29.mp4,Displacement/Interaction-29.mp4,0,1,Buttercup,266.50,418.00,1887.50,976.00,2154.00,1394.00,0.922852,detector
F:\DROPBOX\Isolated_Interaction_Clips\Interaction_Type\Displacement\Interaction-29.mp4,Interaction-29.mp4,Displacement/Interaction-29.mp4,0,2,Rosie,1598.00,56.00,2208.00,962.00,3806.00,1018.00,0.912598,detector
