video,file_name,relative_video,frame,bbox_id,cow_name,x,y,w,h,x2,y2,score,source
F:\DROPBOX\Isolated_Interaction_Clips\Interaction_Type\Displacement\Interaction-65.mp4,Interaction-65.mp4,Displacement/Interaction-65.mp4,0,1,Bella,616.00,250.00,1256.00,1164.00,1872.00,1414.00,0.939453,detector
F:\DROPBOX\Isolated_Interaction_Clips\Interaction_Type\Displacement\Interaction-65.mp4,Interaction-65.mp4,Displacement/Interaction-65.mp4,0,2,Daisy,1656.00,266.00,1188.00,1750.00,2844.00,2016.00,0.929199,detector
F:\DROPBOX\Isolated_Interaction_Clips\Interaction_Type\Displacement\Interaction-65.mp4,Interaction-65.mp4,Displacement/Interaction-65.mp4,0,3,NO NAME,8.00,1298.00,1534.00,838.00,1542.00,2136.00,0.791992,detector
