video,file_name,relative_video,frame,bbox_id,cow_name,x,y,w,h,x2,y2,score,source
F:\DROPBOX\Isolated_Interaction_Clips\Interaction_Type\Displacement\Interaction-7.mp4,Interaction-7.mp4,Displacement/Interaction-7.mp4,0,1,NO NAME,3.50,17.00,725.00,1526.00,728.50,1543.00,0.952637,detector
F:\DROPBOX\Isolated_Interaction_Clips\Interaction_Type\Displacement\Interaction-7.mp4,Interaction-7.mp4,Displacement/Interaction-7.mp4,0,2,Bella,460.00,303.50,1120.00,1808.50,1580.00,2112.00,0.952637,detector
F:\DROPBOX\Isolated_Interaction_Clips\Interaction_Type\Displacement\Interaction-7.mp4,Interaction-7.mp4,Displacement/Interaction-7.mp4,0,3,Daisy,1364.00,306.00,1356.00,1612.00,2720.00,1918.00,0.943359,detector
