video,file_name,relative_video,frame,bbox_id,cow_name,x,y,w,h,x2,y2,score,source
F:\DROPBOX\Isolated_Interaction_Clips\Interaction_Type\Headbutting\Interaction-14.mp4,Interaction-14.mp4,Headbutting/Interaction-14.mp4,0,1,Marigold,1459.00,100.00,1689.00,1992.00,3148.00,2092.00,0.941895,detector
F:\DROPBOX\Isolated_Interaction_Clips\Interaction_Type\Headbutting\Interaction-14.mp4,Interaction-14.mp4,Headbutting/Interaction-14.mp4,0,2,Bella,2100.00,554.00,1552.00,1544.00,3652.00,2098.00,0.920898,detector
F:\DROPBOX\Isolated_Interaction_Clips\Interaction_Type\Headbutting\Interaction-14.mp4,Interaction-14.mp4,Headbutting/Interaction-14.mp4,0,3,NO NAME,3150.00,143.00,688.00,1332.00,3838.00,1475.00,0.911133,detector
